country,organ,year,pub_count
AD,knee,2022,1
AD,liver,2022,1
AE,bone marrow,2020,2
AE,bone marrow,2021,4
AE,bone marrow,2023,2
AE,brain,2015,3
AE,brain,2017,3
AE,brain,2018,4
AE,brain,2019,6
AE,brain,2020,16
AE,brain,2021,23
AE,brain,2022,31
AE,brain,2023,6
AE,eye,2014,1
AE,eye,2015,1
AE,eye,2017,1
AE,eye,2018,2
AE,eye,2019,9
AE,eye,2020,6
AE,eye,2021,9
AE,eye,2022,10
AE,eye,2023,1
AE,fallopian tube,2020,1
AE,heart,2017,4
AE,heart,2018,11
AE,heart,2019,8
AE,heart,2020,10
AE,heart,2021,11
AE,heart,2022,24
AE,heart,2023,8
AE,kidney,2016,2
AE,kidney,2017,1
AE,kidney,2018,5
AE,kidney,2019,9
AE,kidney,2020,12
AE,kidney,2021,12
AE,kidney,2022,15
AE,kidney,2023,3
AE,knee,2018,1
AE,knee,2020,2
AE,knee,2021,4
AE,knee,2022,3
AE,knee,2023,6
AE,liver,2014,1
AE,liver,2017,3
AE,liver,2018,14
AE,liver,2019,13
AE,liver,2020,24
AE,liver,2021,51
AE,liver,2022,57
AE,liver,2023,12
AE,lung,2016,1
AE,lung,2017,1
AE,lung,2019,3
AE,lung,2020,7
AE,lung,2021,14
AE,lung,2022,17
AE,lung,2023,3
AE,lymph node,2019,1
AE,lymph node,2020,1
AE,lymph node,2021,1
AE,lymph node,2022,1
AE,ovary,2017,1
AE,ovary,2020,1
AE,ovary,2021,1
AE,ovary,2022,5
AE,ovary,2023,1
AE,pancreas,2021,2
AE,pancreas,2022,3
AE,pelvis,2019,1
AE,pelvis,2020,1
AE,pelvis,2021,1
AE,peripheral nervous system,2018,1
AE,peripheral nervous system,2022,1
AE,placenta,2020,1
AE,placenta,2022,1
AE,prostate,2018,2
AE,prostate,2019,1
AE,prostate,2021,4
AE,prostate,2022,3
AE,skeletal,2014,1
AE,skeletal,2018,3
AE,skeletal,2019,5
AE,skeletal,2020,4
AE,skeletal,2021,10
AE,skeletal,2022,8
AE,skin,2016,1
AE,skin,2018,1
AE,skin,2019,5
AE,skin,2020,8
AE,skin,2021,7
AE,skin,2022,15
AE,skin,2023,7
AE,small intestine,2017,1
AE,small intestine,2021,1
AE,small intestine,2023,1
AE,spinal cord,2021,1
AE,spinal cord,2022,2
AE,spleen,2017,1
AE,spleen,2018,1
AE,thymus,2015,1
AE,trachea,2022,2
AE,ureter,2019,1
AE,urinary bladder,2018,2
AE,urinary bladder,2020,3
AE,urinary bladder,2021,3
AE,urinary bladder,2022,2
AE,uterus,2021,1
AE,uterus,2022,2
AE,uterus,2023,1
AF,eye,2023,1
AF,heart,2018,1
AF,kidney,2018,1
AF,kidney,2021,1
AF,liver,2018,1
AF,liver,2020,1
AF,liver,2021,2
AF,liver,2022,2
AF,lung,2018,1
AF,lung,2023,2
AF,pancreas,2020,1
AF,pancreas,2021,1
AF,prostate,2019,1
AF,skin,2021,2
AF,trachea,2022,1
AF,urinary bladder,2018,2
AF,uterus,2018,1
AG,bone marrow,2018,1
AG,brain,2019,1
AG,brain,2021,2
AG,brain,2022,2
AG,eye,2019,1
AG,eye,2021,2
AG,eye,2022,2
AG,eye,2023,1
AG,heart,2017,1
AG,heart,2018,2
AG,heart,2019,1
AG,heart,2020,2
AG,heart,2021,5
AG,heart,2022,1
AG,kidney,2017,1
AG,kidney,2018,1
AG,kidney,2019,1
AG,kidney,2020,1
AG,kidney,2021,1
AG,kidney,2022,3
AG,kidney,2023,2
AG,knee,2019,1
AG,knee,2020,1
AG,liver,2017,1
AG,liver,2020,1
AG,liver,2021,3
AG,liver,2022,3
AG,lung,2018,1
AG,lung,2019,1
AG,lung,2020,4
AG,lung,2021,2
AG,lung,2022,2
AG,lymph node,2018,1
AG,lymph node,2021,1
AG,ovary,2018,1
AG,ovary,2019,1
AG,ovary,2020,1
AG,ovary,2022,2
AG,placenta,2023,1
AG,skeletal,2019,1
AG,skeletal,2020,1
AG,skeletal,2021,1
AG,skin,2020,1
AG,skin,2021,2
AG,skin,2022,3
AG,small intestine,2018,1
AG,spinal cord,2019,1
AG,trachea,2021,1
AG,urinary bladder,2020,1
AG,urinary bladder,2021,1
AG,uterus,2021,1
AL,brain,2019,1
AL,brain,2020,1
AL,brain,2021,2
AL,heart,2021,1
AL,heart,2022,3
AL,heart,2023,1
AL,kidney,2015,1
AL,kidney,2018,2
AL,kidney,2020,1
AL,kidney,2021,1
AL,kidney,2022,2
AL,kidney,2023,1
AL,knee,2023,1
AL,liver,2018,1
AL,liver,2019,1
AL,liver,2022,2
AL,lung,2022,1
AL,muscular system,2021,1
AL,ovary,2022,1
AL,pelvis,2022,1
AL,prostate,2021,1
AL,skeletal,2021,1
AL,skin,2020,4
AL,skin,2021,2
AM,bone marrow,2021,1
AM,brain,2020,1
AM,brain,2021,4
